Type Water Body,State Name,MIN Temprature,MAX Temprature,MIN Dissolved O2,MAX Dissolved O2,MIN pH,MAX pH,MIN Conductivity,MAX Conductivity,MIN BOD,MAX BOD,MIN N+,MAX N+,MIN Fecal Coliform,MAX Fecal Coliform,MIN Total Coliform,MAX Total Coliform
LAKE,KARNATAKA,25.0,25.0,4.2,6.6,6.6,7.6,449.0,963.0,3.0,8.0,0.3,2.6,2300.0,1100000.0,24000.0,3500000.0
LAKE,KARNATAKA,25.0,25.0,0.3,6.2,6.3,7.2,358.0,1637.0,4.0,29.0,0.3,2.2,3400.0,700000.0,24000.0,5400000.0
LAKE,KARNATAKA,25.0,25.0,4.6,6.8,6.8,7.9,706.0,985.0,3.7,7.0,1.4,3.29,490.0,15000.0,5400.0,160000.0
LAKE,KARNATAKA,25.0,25.0,4.4,6.5,6.5,8.1,209.0,1194.0,4.0,9.0,0.7,3.2,3300.0,140000.0,24000.0,540000.0
LAKE,KARNATAKA,25.0,25.0,3.2,6.8,7.1,8.5,706.0,949.0,4.0,17.0,0.4,6.49,3300.0,150000.0,24000.0,1600000.0
LAKE,KARNATAKA,25.0,25.0,0.3,2.8,6.5,6.9,1035.0,1187.0,18.0,87.0,1.1,5.0,2300.0,1200000000.0,24000.0,9200000000.0
LAKE,KARNATAKA,24.0,29.0,0.3,10.9,7.6,9.0,708.0,1528.0,1.0,38.0,0.32,6.0,920.0,1840.0,1600.0,3200.0
LAKE,KARNATAKA,25.0,25.0,5.7,6.9,6.5,7.2,141.0,312.0,3.0,5.0,0.4,11.5,1200.0,15000.0,16000.0,160000.0
LAKE,KARNATAKA,25.0,25.0,4.0,7.0,6.5,7.4,297.0,1326.0,3.0,11.0,0.6,2.3,3300.0,940000.0,24000.0,5400000.0
LAKE,KARNATAKA,25.0,25.0,1.0,7.0,6.5,7.7,225.0,1871.0,4.0,22.0,0.36,3.0,3300.0,1100000.0,24000.0,9200000.0
LAKE,KARNATAKA,25.0,25.1,4.8,7.4,6.5,7.8,208.0,521.0,2.0,10.0,0.3,2.2,23.0,46000.0,24000.0,350000.0
LAKE,KARNATAKA,25.0,25.0,2.1,4.8,6.5,8.5,671.0,1238.0,6.0,36.0,1.5,3.6,4000.0,79000.0,24000.0,540000.0
LAKE,KARNATAKA,21.0,26.0,0.3,3.6,7.1,8.5,725.0,1168.0,8.0,14.0,2.1,4.9,2100.0,3300.0,7000.0,12000.0
LAKE,KARNATAKA,21.0,25.0,2.1,6.6,6.5,7.6,425.0,1336.0,3.0,30.0,1.1,9.4,4000.0,14000.0,24000.0,160000.0
LAKE,KARNATAKA,25.0,25.0,3.4,6.6,6.1,8.0,185.0,1114.0,3.0,8.0,0.3,9.79,4000.0,120000.0,24000.0,1600000.0
LAKE,KARNATAKA,25.0,25.0,0.3,5.1,6.3,7.4,974.0,1737.0,9.0,375.0,1.2,8.0,3300.0,2300000000.0,24000.0,2400000000.0
